50M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
3;57.19  ;;2;IGLESIAS AMADO, ANA (00);2000;CAJJ;14/2/26;Ourense
4;57.47  ;;3;MUÑOZ ALONSO, AROA (97);1997;OUROR;14/2/26;Ourense
5;58.35  ;;4;CARIDE ARUFE, LIA (01);2001;SGPPO;17/1/26;Ourense
6;58.41  ;;4;LOPEZ FERNANDEZ, LARA (02);2002;SGPPO;14/2/26;Ourense
7;58.55  ;;3;REIJA TORRON, ANDREA (02);2002;OUROR;11/1/26;Ourense
8;59.16  ;;4;MARTINEZ HUERGA, CAROLINA (98);1998;OUROR;11/1/26;Ourense
9;59.22  ;;0;RIVADULLA ALONSO, LUCIA (01);2001;RIAC;15/2/26;Sabadell
;;;;;;;;
500M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;01:50.2;;8;ARCEO GONZALEZ, CARLA (03);2003;ESCLU;14/3/26;Ourense
;;;;;;;;
800M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;02:11.0;;1;GIL SORIANO, EUGENIA (96);1996;SGPPO;21/2/26;Ourense
2;02:22.0;;9;ROMAN MARTI, CLARA (03);2003;CAFPO;14/2/26;Ourense
3;02:24.2;;12;RODRIGUEZ GONZALEZ, IRIA DE LOS ANGELES (99);1999;CAFPO;14/2/26;Ourense
4;2.24.74  ;;4;REIJA TORRON, ANDREA (02);2002;OUROR;27/2/26;Valencia
5;02:30.3;;2;SANCHEZ LOPEZ, NOELIA (03);2003;MCHC;30/1/26;A Coruña
6;02:31.9;;1;SALVADO PRIETO, EVA (97);1997;RIAC;14/2/26;Ourense
7;02:36.0;;8;LÓPEZ REBOLLIDO, JULIA (95);1995;CASC;30/1/26;A Coruña
;;;;;;;;
1.500M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;4.30.44  ;;1;DOCAMPO GAMARRA, INES (03);2003;ADAOR;31/1/26;Madrid
2;4.34.45  ;;3;GONZALEZ FERNANDEZ, ANGELA (97);1997;COMPO;21/2/26;Ourense
3;04:34.5;;3;PIÑEL LORENZO, EVA (98);1998;DLKPO;31/1/26;Ourense
4;4.38.06  ;;2;LAMIYAE, HIMI (01);2001;NAOC;17/1/26;Ourense
5;04:42.0;;6;DE LA TORRE CARABELOS, PAULA (02);2002;SGPPO;31/1/26;Ourense
6;04:52.0;;2;ROMAN MARTI, CLARA (03);2003;CAFPO;10/1/26;Ourense
7;04:53.4;;7;LOPEZ LOPEZ, SARA (01);2001;ADAOR;11/1/26;Ourense
8;04:57.2;;2;SANCHEZ LOPEZ, NOELIA (03);2003;MCHC;18/1/26;Ourense
9;05:06.7;;17;VARELA MOLEJON, LUCIA (03);2003;SGPPO;14/2/26;Ourense
10;5.21.87  ;;7;LÓPEZ REBOLLIDO, JULIA (95);1995;CASC;17/1/26;Ourense
;;;;;;;;
3.000M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;9.21.84  ;;7;DOCAMPO GAMARRA, INES (03);2003;ADAOR;28/2/26;Valencia
2;09:42.5;;4;PIÑEL LORENZO, EVA (98);1998;DLKPO;14/2/26;Ourense
3;10:40.1;;9;PORTEIRO DE LOÑO, MULLUNESH MARINA (97);1997;SGPPO;14/2/26;Ourense
4;10:58.0;;2;MIRANTES SANTOS, NOA (03);2003;MARC;25/1/26;Ourense
;;;;;;;;
ALTURA FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;1,71  ;;3;REIJA TORRON, ANDREA (02);2002;OUROR;27/2/26;Valencia
2;1.52  ;;2;VILLAVERDE PUENTE, ANDREA (02);2002;SGPPO;11/1/26;Ourense
3;1.35  ;;6;SALVADO PRIETO, EVA (97);1997;RIAC;14/2/26;Ourense
;;;;;;;;
PÉRTIGA FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;3.72  ;;1;BOUZA VILLAR, LOLA (03);2003;PIES;24/1/26;Ourense
2;2,90  ;;3;FERNANDEZ GARCIA, NEREA (02);2002;ADAOR;15/2/26;Braga (POR)
3;2,61  ;;4;MARTIN PANDELO, PAULA (94);1994;SGPPO;17/1/26;Ourense
4;2.31  ;;3;CARRAGAL MALLO, LARA (97);1997;SGPPO;11/1/26;Ourense
5;2.31  ;;3;BURES SOBRADO, MARTA (01);2001;SGPPO;11/1/26;Ourense
6;2,21  ;;5;VILAS MARTINEZ, MARTA (02);2002;RZCC;17/1/26;Ourense
;;;;;;;;
LONGITUD FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;6.18  ;;1;BECERRIL ALVAREZ, OLAIA GISELA (01);2001;AMARA;14/2/26;Ourense
2;5,74  ;;1;VILLAVERDE PUENTE, ANDREA (02);2002;SGPPO;17/1/26;Ourense
3;5.36  ;;3;REIJA TORRON, ANDREA (02);2002;OUROR;11/1/26;Ourense
4;5.26  ;;2;MARTINEZ IGLESIAS, ALBA (95);1995;OUROR;7/2/26;Ourense
5;5.10  ;;2;IGLESIAS CHAVEZ, NAYELI (02);2002;OUROR;24/1/26;Ourense
6;4.61  ;;0;SALVADO PRIETO, EVA (97);1997;RIAC;14/2/26;Ourense
7;4.36  ;;5;FREIRE MOURE, MARTINA (94);1994;MARC;18/1/26;Ourense
;;;;;;;;
TRIPLE FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;12.09  ;;1;MARTINEZ IGLESIAS, ALBA (95);1995;OUROR;14/2/26;Ourense
2;10.79  ;;8;GIL FERNANDEZ, ARIADNA (02);2002;SGPPO;14/2/26;Ourense
3;10.42  ;;11;AMOEDO PORTABALES, SARAY (00);2000;CAFPO;14/2/26;Ourense
4;9.80  ;;2;FREIRE MOURE, MARTINA (94);1994;MARC;25/1/26;Ourense
;;;;;;;;
PESO (4KG) FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;17,80  ;;7;TOIMIL FERNÁNDEZ, BELÉN (94);1994;1/3/26;Nehvizdy - (CZE);
2;12,52  ;;1;MERINO PEREZ, ALICIA (93);1993;RIAC;18/1/26;Braga (POR)
3;12.17  ;;3;VILLA CARRACELAS, RAQUEL (96);1996;CAFPO;14/2/26;Ourense
4;11,72  ;;2;REIJA TORRON, ANDREA (02);2002;OUROR;27/2/26;Valencia
5;11,19  ;;5;FERNANDEZ GUEDE, EVELYN (01);2001;NAOC;17/1/26;Ourense
6;9.72  ;;5;MAURIZ SEIJAS, TAMARA (95);1995;NAOC;14/2/26;Ourense
7;8.93  ;;0;SALVADO PRIETO, EVA (97);1997;RIAC;14/2/26;Ourense
;;;;;;;;
PENTATLÓN FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;3877  ;;4;REIJA TORRON, ANDREA (02);2002;OUROR;27/2/26;Valencia
2;2650  ;;3;SALVADO PRIETO, EVA (97);1997;RIAC;14/2/26;Ourense
;;;;;;;;
4X400M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;3.55.19  ;;1;LOPEZ FERNANDEZ, LARA (02);2002;SGPPO;17/1/26;Ourense
2;3.55.19  ;;1;CARIDE ARUFE, LIA (01);2001;SGPPO;17/1/26;Ourense
3;3.55.19  ;;1;SOC.GIMNASTICA PONTEVEDRA, ABSOLUTO MULLERES (95);1995;SGPPO;17/1/26;Ourense
4;3.58.24  ;;2;OURENSE ATLETISMO, ABSOLUTO MULLERES (95);1995;OUROR;17/1/26;Ourense
5;3.58.24  ;;2;REIJA TORRON, ANDREA (02);2002;OUROR;17/1/26;Ourense
6;3.58.24  ;;2;MARTINEZ HUERGA, CAROLINA (98);1998;OUROR;17/1/26;Ourense
7;3.58.24  ;;2;MUÑOZ ALONSO, AROA (97);1997;OUROR;17/1/26;Ourense
8;4.02.62  ;;3;OITAVEN PASCUAL, INES (98);1998;RIAC;17/1/26;Ourense
9;4.02.62  ;;3;IGLESIAS GARNELO, PAULA (98);1998;RIAC;17/1/26;Ourense
10;4.02.62  ;;3;RIA FERROL, ABSOLUTO MULLERES (95);1995;RIAC;17/1/26;Ourense
11;4.03.02  ;;4;ATLETISMO FEMENINO CELTA, ABSOLUTO MULLERES (95);1995;CAFPO;17/1/26;Ourense
12;4.12.47  ;;5;RIAZOR CORUÑA, ABSOLUTA MULLERES (95);1995;RZCC;17/1/26;Ourense
13;4.15.58  ;;6;IGLESIAS FORNEIRO, ADIARATOU (99);1999;LUCLU;17/1/26;Ourense
14;4.15.58  ;;6;LUCUS CAIXA RURAL, ABSOLUTA MULLERES (95);1995;LUCLU;17/1/26;Ourense
15;4.16.33  ;;7;CA SADA, ABSOLUTO MULLERES (95);1995;CASC;17/1/26;Ourense
16;4.18.39  ;;8;CA NARON, ABSOLUTO MULLERES (95);1995;NAOC;17/1/26;Ourense
17;4.18.39  ;;8;LAMIYAE, HIMI (01);2001;NAOC;17/1/26;Ourense
;;;;;;;;
60M VALLAS (0,84) FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;8.55  ;;7;PEREIRA ALONSO, UXIA (01);2001;AMARA;28/2/26;Valencia
2;8.65  ;;4;REIJA TORRON, ANDREA (02);2002;OUROR;27/2/26;Valencia
3;8.96  ;;5;MERINO PEREZ, ALICIA (93);1993;RIAC;1/3/26;Braga
4;10.51  ;;2;SALVADO PRIETO, EVA (97);1997;RIAC;31/1/26;Ourense
;;;;;;;;
 07/04/2026 20:51:20;;;;;;;;
;;;;;;;;
;;;;;;;;
Contidos Federación Galega de Atletismo - Software Oikea;;;;;;;;
Avda. de Glasgow, 13 Complexo Deportivo de Elvi񡠭 15008 A Coru񡼢r />Tel馯no: 981.29.16.83 - Fax: 981.29.20.56 - secretaria@atletismo.gal;;;;;;;;
